deadline,currency,usd_pledged_real
11/09/2017,USD,947.0
21/09/2012,USD,16656.0
19/02/2011,USD,3005.33
17/05/2016,USD,3184.0
12/09/2016,USD,5075.0
15/05/2011,USD,9137.0
09/09/2014,USD,2522.0
28/06/2012,USD,838.01
08/01/2018,GBP,563.32
11/09/2015,USD,10050.0
30/05/2011,USD,3520.0
01/03/2017,USD,2025.0
13/05/2012,USD,2708.0
13/08/2016,USD,20709.5
05/08/2014,USD,17563.0
27/05/2013,USD,12413.0
28/06/2015,GBP,1713.93
01/04/2015,USD,1745.0
18/09/2013,USD,4279.0
15/03/2015,USD,2455.0
17/02/2013,USD,3606.0
15/09/2012,USD,5975.0
27/08/2013,USD,91972.5
23/07/2017,USD,525.0
16/07/2014,USD,3100.0
16/09/2016,USD,3000.0
08/04/2016,CHF,4009.53
13/02/2012,USD,11001.0
10/06/2015,USD,23447.0
09/04/2015,USD,501.0
18/01/2016,USD,120.0
31/07/2013,GBP,5145.77
01/05/2013,USD,41136.55
16/12/2014,USD,5189.0
19/03/2013,USD,15435.55
26/11/2016,GBP,2840.3
24/03/2014,CAD,18.12
05/11/2013,USD,9047.0
11/06/2011,USD,1010.0
16/02/2018,USD,5.0
08/02/2016,CAD,2179.85
31/10/2013,USD,116655.41
28/02/2016,USD,61315.0
06/01/2018,MXN,0.0
10/06/2016,USD,129311.0
25/05/2015,USD,24428.0
30/09/2016,GBP,3308.01
02/08/2012,USD,2037.19
18/12/2014,USD,90715.0
02/06/2016,USD,5772.15
24/03/2012,USD,31275.6
06/06/2016,GBP,16261.68
17/11/2016,USD,16998.0
07/07/2016,USD,20330.0
09/08/2014,USD,5688.0
19/08/2014,USD,36.0
09/09/2013,USD,950.01
19/09/2013,USD,1100.0
03/10/2012,USD,810.0
08/02/2012,USD,7375.51
19/07/2015,GBP,38862.93
24/07/2017,USD,41224.95
20/08/2010,USD,4331.0
01/06/2013,USD,3216.0
08/06/2013,USD,9408.0
06/06/2012,USD,2695.0
10/11/2012,USD,3151.26
15/07/2011,USD,33535.05
22/08/2013,USD,102937.0
06/03/2014,USD,3551.0
27/01/2013,USD,5001.31
19/11/2013,GBP,1331.71
02/09/2014,USD,500.0
21/03/2017,USD,47554.5
19/09/2017,GBP,40023.34
05/04/2017,USD,1100.65
09/09/2017,USD,796.0
15/09/2016,USD,3388.0
01/02/2012,USD,8540.0
01/09/2012,USD,1360.48
04/02/2018,MXN,52.32
16/11/2012,USD,1405.0
21/10/2011,USD,10210.0
17/01/2018,EUR,0.0
07/12/2017,USD,1374021.0
31/10/2015,USD,4574.0
16/12/2013,USD,1000.0
08/08/2014,USD,15720.0
08/09/2011,USD,4603.5
03/06/2016,USD,396299.0
02/01/2015,USD,103114.5
28/05/2013,USD,2820.0
04/05/2015,USD,4569.0
10/04/2015,USD,439.0
11/11/2012,USD,4176.0
09/07/2012,USD,5040.18
02/05/2012,USD,8660.0
13/02/2016,USD,5850.0
16/07/2012,USD,12760.31
04/11/2014,USD,4266.0
18/06/2011,USD,3026.75
18/03/2016,NOK,2402.95
01/07/2015,USD,1000.0
11/04/2014,USD,875.0
19/02/2012,USD,10451.52
21/12/2016,USD,583.0
15/09/2016,USD,10205.0
25/05/2017,USD,165519.0
20/10/2013,USD,21613.47
15/05/2017,USD,106213.0
20/12/2016,GBP,2754.88
02/10/2011,USD,5002.0
13/11/2013,GBP,32873.26
19/06/2017,USD,10752.0
01/08/2015,EUR,12600.78
29/12/2012,USD,45155.0
15/11/2016,USD,30126.0
07/12/2016,GBP,1693.27
11/04/2015,USD,251.0
02/09/2016,USD,40546.0
01/12/2010,USD,2179.0
20/01/2018,USD,1.0
27/03/2015,GBP,1645.22
24/09/2017,HKD,9536.67
21/02/2014,USD,38186.0
02/06/2016,USD,18280.0
10/12/2015,USD,2688.0
13/09/2013,USD,3368.0
16/03/2014,GBP,56359.86
05/05/2014,USD,11515.91
15/02/2015,USD,5475.0
31/03/2016,USD,1215.0
30/01/2015,USD,1026.0
11/04/2014,USD,702.0
01/03/2015,USD,10164.0
14/11/2013,USD,198.0
19/01/2018,USD,9097.0
23/04/2012,USD,607.0
04/03/2013,USD,2516.24
30/07/2015,USD,1671.0
20/09/2013,USD,5198.0
21/02/2015,USD,590.0
28/04/2011,USD,4540.0
29/04/2012,USD,4746.69
07/03/2013,USD,38946.01
07/11/2014,CAD,1766.97
05/06/2014,USD,11357.0
31/03/2016,CAD,855.85
25/08/2017,USD,82769.0
18/09/2013,USD,4201.0
01/11/2017,USD,8312.0
31/12/2012,GBP,47377.46
06/01/2018,USD,225.0
17/11/2012,USD,6625.0
28/04/2017,EUR,5508.74
13/01/2013,USD,52837.51
11/11/2016,USD,5189.0
02/03/2016,USD,125808.4
14/11/2014,USD,5000.0
26/05/2012,USD,305.0
21/03/2012,USD,5255.0
17/03/2014,GBP,865.68
09/08/2017,GBP,298.52
07/05/2014,USD,4653.0
02/08/2017,USD,2520.5
25/08/2017,HKD,85744.62
21/04/2017,USD,23000.0
21/07/2017,GBP,1195.26
23/05/2015,GBP,2395.41
18/12/2014,USD,985.0
16/04/2012,USD,2667.0
24/10/2016,USD,1310.0
18/08/2014,USD,42060.63
06/01/2018,USD,3128.0
14/01/2013,USD,10120.5
06/06/2014,USD,5480.0
01/10/2016,USD,8900.33
26/07/2012,USD,5060.0
01/12/2013,USD,3090.0
12/01/2014,USD,1390.0
22/10/2015,USD,1486.0
01/08/2014,USD,4245.0
06/05/2016,USD,14006.0
07/03/2013,USD,1692.0
17/12/2010,USD,11610.0
03/03/2016,USD,147526.0
27/07/2014,GBP,2523.85
24/09/2011,USD,32766.9
20/11/2014,GBP,32885.86
14/06/2013,USD,108950.86
12/12/2014,USD,1507.0
08/04/2017,USD,767897.09
22/12/2016,USD,3818.0
01/05/2014,USD,74026.0
02/03/2013,USD,40062.0
19/02/2015,USD,665.0
01/12/2012,USD,2500.5
31/05/2014,CAD,11959.9
03/06/2015,USD,4656.0
25/03/2012,USD,3053.0
10/08/2014,USD,1045.0
06/08/2015,USD,1531.0
03/06/2013,USD,1653.0
15/12/2016,HKD,173126.48
02/06/2017,USD,10177.0
22/10/2013,USD,4542.83
15/07/2016,USD,17933.0
21/11/2017,GBP,6971.32
12/03/2015,USD,22665.0
28/11/2012,USD,1162.0
27/10/2017,MXN,262.2
30/10/2016,EUR,11444.64
25/01/2015,USD,26695.0
28/06/2013,USD,30673.0
12/05/2017,USD,2000.0
16/10/2015,EUR,39090.97
02/01/2018,USD,9500.0
17/12/2015,USD,1919.0
15/08/2015,USD,113.0
10/09/2014,USD,118923.5
21/07/2017,CAD,5066.69
01/11/2013,USD,1760.0
20/02/2013,USD,19711.0
16/07/2013,GBP,27944.45
26/07/2015,USD,7591.0
13/12/2013,AUD,27135.53
01/06/2013,USD,103307.65
20/12/2011,USD,14401.0
07/11/2016,GBP,1924.25
03/05/2011,USD,2845.0
28/04/2013,USD,28036.0
29/12/2017,USD,9502.0
01/03/2012,USD,900.0
03/04/2010,USD,3661.0
14/11/2011,USD,2095.0
19/08/2017,USD,6442.0
19/07/2015,USD,14200.0
07/09/2012,USD,2661.32
05/10/2013,USD,3299.0
03/05/2011,USD,5350.51
03/12/2014,USD,5825.0
04/09/2016,USD,205.0
13/04/2014,USD,3438.13
07/09/2011,USD,3173.0
22/09/2016,USD,10600.0
25/02/2017,USD,2517.0
01/10/2014,USD,1504.0
17/05/2015,USD,2040.0
12/11/2011,USD,5170.0
01/05/2014,USD,27431.0
13/03/2015,GBP,3387.78
22/02/2013,USD,2752.0
11/06/2015,EUR,45531.66
02/11/2012,USD,2315.0
14/01/2017,USD,10196.5
04/05/2015,USD,1100.0
13/08/2015,GBP,5378.36
05/11/2015,USD,38317.0
31/08/2011,USD,2800.0
10/07/2016,EUR,677.7
21/09/2017,USD,84138.42
02/05/2013,USD,4088.0
16/07/2016,USD,10277.0
19/01/2013,USD,3155.0
08/06/2013,USD,1525.0
09/08/2014,USD,11.0
31/03/2014,GBP,4167.84
01/07/2012,USD,5178.0
16/03/2012,USD,3500.0
05/08/2012,USD,3100.0
04/08/2017,CAD,1228.92
31/12/2016,USD,81510.0
15/08/2012,USD,5637.0
06/11/2014,GBP,10686.09
28/03/2014,USD,13135.0
06/02/2017,USD,3065.0
04/12/2016,GBP,3083.38
25/09/2014,USD,29.0
04/06/2015,USD,66988.0
31/10/2016,USD,9194.0
03/01/2013,GBP,338589.87
28/07/2012,USD,1307.0
17/11/2012,USD,75.0
27/01/2012,USD,5358.0
14/02/2016,GBP,1379.23
22/08/2014,USD,81981.0
15/02/2016,EUR,10177.2
14/10/2011,USD,1155.23
18/12/2014,USD,673.0
23/11/2013,USD,11026.0
19/08/2016,USD,7582.0
17/01/2017,GBP,19406.25
23/04/2012,USD,673.21
16/05/2017,MXN,5501.07
01/09/2017,USD,71293.0
09/08/2015,USD,15102.0
08/06/2013,USD,1381.0
15/07/2017,USD,3215.0
26/05/2016,EUR,192343.26
08/09/2014,USD,6035.0
08/06/2013,USD,2570.0
08/05/2017,USD,8039.99
22/10/2012,USD,3285.0
30/08/2010,USD,2710.0
14/12/2016,USD,8599.0
22/11/2014,GBP,11855.1
11/05/2013,GBP,5607.69
08/10/2014,GBP,24589.94
23/11/2014,GBP,2581.97
01/06/2012,USD,30255.0
08/12/2014,AUD,6344.17
01/06/2012,USD,1227.01
25/05/2015,USD,3194.0
22/10/2011,USD,15827.0
19/09/2014,USD,3682.93
10/05/2015,USD,910.0
16/03/2012,USD,8185.0
23/03/2013,USD,941.0
13/05/2015,USD,507.0
16/04/2013,USD,17135.0
31/05/2015,USD,5650.0
17/02/2012,USD,3553.0
07/05/2012,USD,11178.0
30/11/2016,CAD,1286.18
01/09/2013,USD,39557.16
08/08/2010,USD,1631.0
24/07/2014,USD,25000.0
20/09/2017,USD,51807.0
04/07/2014,USD,13574.0
02/10/2015,USD,457.0
11/03/2017,USD,3653.5
04/04/2015,GBP,3742.67
21/08/2014,USD,677.0
26/05/2016,USD,4661.0
03/11/2011,USD,2607.0
09/08/2012,USD,3081.0
09/01/2017,EUR,192.96
31/10/2016,USD,24056.0
09/12/2015,USD,15130.0
01/06/2016,GBP,3323.76
11/05/2013,USD,101.0
26/04/2017,CAD,17149.14
01/07/2016,USD,24255.0
12/09/2014,USD,394.0
30/11/2013,GBP,7660.88
28/08/2014,USD,1973.0
19/10/2016,USD,4205.0
31/10/2013,USD,75350.55
07/07/2015,USD,9613.0
26/11/2011,USD,10446.0
18/09/2017,USD,18594.0
03/11/2017,USD,4371.0
16/12/2016,GBP,22518.58
04/12/2012,USD,303.0
20/12/2016,GBP,673.71
17/04/2013,GBP,4215.08
04/09/2014,USD,525.5
05/01/2018,USD,464.0
22/02/2011,USD,3800.0
24/05/2014,USD,5130.0
24/07/2016,USD,920.0
11/12/2016,USD,6945.0
29/11/2014,USD,38016.12
16/05/2016,GBP,2415.47
18/08/2012,USD,5164.09
16/11/2015,USD,2637.0
03/11/2017,GBP,59230.76
07/04/2014,GBP,6811.34
10/01/2015,USD,4210.0
18/09/2015,GBP,2453.41
25/05/2017,USD,21797.0
18/04/2012,USD,3740.87
14/12/2013,USD,10086.0
06/03/2011,USD,5843.0
05/09/2016,USD,6001.0
23/02/2012,USD,2025.0
25/02/2015,USD,38206.0
22/07/2011,USD,7233.11
19/03/2016,USD,21807.0
29/04/2015,USD,4085.0
15/05/2016,EUR,8047.34
19/05/2016,CAD,4207.23
19/01/2018,USD,625.0
30/05/2014,USD,440.0
30/06/2016,USD,6652.0
01/10/2015,USD,10295.0
01/12/2015,USD,4296.0
17/10/2013,USD,12577.0
16/08/2011,USD,2565.0
11/06/2015,USD,3326.0
31/12/2016,USD,1172.0
04/10/2013,USD,50497.0
01/02/2016,USD,10339.0
21/05/2012,USD,2916.0
30/06/2014,AUD,9484.71
02/02/2013,USD,5904.0
29/07/2016,GBP,13144.69
25/10/2011,USD,1036.0
19/10/2017,USD,2302.0
25/10/2015,EUR,2796.11
02/03/2011,USD,4317.0
06/10/2016,USD,16181.2
15/06/2015,NOK,249.65
15/12/2015,CAD,2391.26
28/10/2012,USD,8852.89
27/09/2017,GBP,15889.89
14/10/2014,USD,121166.59
25/07/2014,USD,4566.0
09/10/2017,USD,1461.0
01/10/2016,GBP,754.56
29/03/2013,USD,4010.0
06/12/2012,USD,10127.0
18/09/2010,USD,7000.0
05/07/2014,USD,8585.0
27/03/2016,USD,38269.84
19/12/2011,USD,1635.0
31/05/2012,USD,3209.84
02/04/2015,USD,578478.33
30/09/2012,USD,3068.0
03/12/2014,USD,1844.0
28/10/2016,USD,67408.0
18/08/2017,USD,11526.0
03/09/2015,USD,76048.46
04/02/2018,USD,223.0
06/09/2017,USD,8764.2
09/09/2014,USD,11300.0
20/01/2018,USD,55135.0
02/05/2017,EUR,7170.65
14/06/2013,USD,3500.0
25/09/2012,USD,5180.0
09/12/2015,USD,13095.0
17/01/2014,USD,10195.77
28/08/2017,USD,358.0
27/11/2014,USD,12.0
29/06/2017,USD,2000.0
20/08/2012,USD,5033.0
24/08/2016,GBP,2430.37
01/03/2017,USD,17602.0
28/06/2013,USD,2063.96
11/10/2013,USD,1655.0
13/01/2015,USD,5506.0
05/08/2017,SEK,964.26
05/03/2015,USD,57249.0
30/11/2017,USD,5071.0
04/07/2014,GBP,1758.93
01/12/2017,USD,30977.0
02/04/2012,USD,4000.0
05/08/2010,USD,4410.0
13/09/2014,CAD,29012.57
13/05/2017,USD,324870.0
27/03/2012,USD,1700.0
20/06/2016,USD,14075.0
19/08/2012,USD,1255.0
26/08/2010,USD,340.0
01/02/2015,USD,2015.0
03/07/2014,GBP,120.0
08/04/2014,USD,10945.0
16/05/2016,CAD,85222.04
23/08/2014,USD,51318.0
11/05/2013,GBP,250.6
05/05/2013,USD,11480.0
12/05/2016,EUR,1709.01
30/06/2013,USD,4756.0
11/09/2014,USD,30585.11
08/04/2012,USD,15940.0
12/01/2017,SGD,9913.76
07/06/2012,USD,5249.0
02/09/2015,USD,24123.0
16/03/2014,USD,505.0
08/10/2015,GBP,2115.32
18/02/2013,USD,1601.0
05/03/2015,USD,531581.0
15/11/2016,USD,833.0
12/03/2017,USD,8046.0
20/05/2012,USD,10232.0
31/07/2011,USD,7241.69
09/07/2012,USD,20690.5
13/11/2017,USD,26650.13
14/10/2015,USD,3000.0
04/05/2011,USD,2646.0
14/10/2013,USD,2368.0
07/04/2014,GBP,9622.21
01/05/2014,USD,4665.0
29/04/2011,USD,18007.0
10/10/2016,USD,32667.33
04/06/2014,USD,7389.0
24/08/2012,USD,146121.81
12/06/2015,USD,1188.0
06/03/2017,GBP,14255.15
04/12/2013,USD,6250.88
03/03/2014,USD,4126.0
09/08/2014,USD,25769.0
12/10/2017,EUR,577532.01
25/04/2015,USD,7338.0
04/06/2015,USD,1195.0
25/11/2017,EUR,1154.03
23/07/2016,AUD,8690.42
21/12/2015,GBP,5270.69
08/01/2014,USD,1575.0
14/07/2016,NZD,8178.24
09/12/2014,USD,4502.0
24/03/2014,GBP,166.33
08/04/2016,USD,15806.0
22/05/2013,USD,5185.0
16/10/2015,USD,9748.0
31/10/2015,USD,1651.0
21/09/2012,USD,6710.0
15/05/2015,SEK,96.97
31/05/2015,USD,50653.0
20/07/2013,USD,7947.0
15/10/2012,USD,9186.0
20/04/2017,EUR,75504.15
17/07/2015,CAD,444.6
25/07/2017,USD,631.0
05/01/2013,USD,17332.0
29/07/2016,USD,9516.0
29/10/2010,USD,641.0
11/01/2015,CAD,4206.07
25/03/2015,USD,1240.0
23/03/2014,USD,5511.0
04/07/2014,USD,2780.0
24/11/2012,USD,20243.0
04/05/2012,USD,10550.0
01/07/2015,CAD,63080.31
02/11/2012,USD,77522.47
16/11/2016,USD,6569.0
20/09/2013,USD,26476.66
07/05/2011,USD,6025.03
19/01/2017,USD,18033.0
28/03/2013,USD,3450.0
16/12/2016,EUR,5020667.05
23/08/2017,USD,126838.0
15/12/2012,USD,510.0
10/05/2010,USD,7060.0
05/07/2014,USD,9878.0
12/10/2016,USD,8016.0
18/08/2015,USD,135.0
24/06/2013,GBP,1753.26
31/12/2014,USD,5000.0
01/12/2010,USD,2443.0
30/09/2012,USD,5275.0
03/01/2013,GBP,536.63
28/03/2017,HKD,48443.34
11/06/2015,USD,3801.0
29/03/2015,USD,122161.0
26/05/2016,NZD,99251.91
16/05/2012,USD,750.0
03/02/2011,USD,30752.0
03/04/2014,USD,2313.0
01/01/2017,MXN,407.97
01/09/2012,USD,4028.0
05/10/2017,USD,603.0
12/04/2014,USD,51501.7
01/12/2013,USD,32006.67
01/02/2018,CAD,0.0
23/05/2016,USD,425.67
17/12/2016,USD,79949.0
24/08/2012,USD,4305.05
13/09/2017,EUR,9729.52
19/10/2013,USD,2001.52
15/06/2016,USD,17391.0
02/08/2014,USD,150986.0
03/03/2012,USD,5360.0
01/11/2014,USD,3784.0
08/03/2015,USD,12425.0
27/02/2017,GBP,183.52
16/11/2016,USD,18131.0
19/11/2017,GBP,931.43
19/06/2014,CAD,11837.43
12/03/2012,USD,12000.1
16/03/2013,USD,12876.0
30/03/2015,USD,28399.0
15/10/2012,USD,900.11
02/12/2016,USD,11459.0
26/04/2017,USD,862.0
29/04/2013,USD,3847.39
19/02/2017,USD,5877.0
01/06/2012,USD,4082.0
19/09/2010,USD,5237.88
24/06/2014,USD,50140.01
24/04/2016,USD,30230.0
09/11/2011,USD,16159.0
02/07/2015,USD,16397.0
14/02/2015,GBP,192.95
09/01/2016,USD,25264.0
08/12/2012,USD,39473.14
06/01/2017,USD,3546.0
02/05/2015,USD,725.0
14/03/2013,USD,525.0
25/09/2011,USD,3000.0
28/02/2011,USD,9661.0
10/01/2013,USD,2580.0
13/02/2012,USD,1601.11
23/04/2012,USD,8600.0
04/05/2016,NOK,28121.59
28/06/2012,USD,65346.0
13/08/2015,USD,5312.0
01/10/2013,USD,2465.0
25/05/2010,USD,1064.0
21/03/2010,USD,5281.0
14/11/2013,USD,1700.0
29/10/2015,AUD,11970.37
25/03/2016,USD,21441.0
16/06/2014,GBP,257.28
20/07/2017,EUR,37169.37
18/06/2013,USD,1480.0
06/02/2015,USD,4608.0
01/05/2016,USD,30586.0
13/01/2012,USD,6523.0
19/10/2017,CAD,1215.38
17/09/2015,USD,14939.0
20/12/2013,USD,14051.11
02/11/2016,USD,4603.0
08/08/2015,USD,515.0
20/11/2015,USD,42469.0
04/04/2013,USD,3197.0
21/11/2013,GBP,3549.97
04/11/2014,USD,35317.0
20/09/2010,USD,8581.24
17/06/2017,MXN,465.56
06/09/2013,USD,8585.82
24/07/2012,USD,6060.01
18/03/2013,USD,1500.0
03/04/2014,USD,1128.0
24/07/2015,USD,5530.0
22/03/2014,USD,7052.38
09/05/2017,USD,3030.0
23/11/2017,USD,1852.0
11/05/2014,USD,4086.01
15/06/2010,USD,1600.0
12/12/2012,USD,1500.0
28/11/2014,USD,27620.0
20/05/2011,USD,836.33
03/07/2012,USD,1225.0
27/12/2016,USD,1930.0
11/09/2017,CAD,3108.68
18/11/2015,USD,32942.0
01/07/2013,USD,366.0
19/08/2014,USD,9002.0
30/10/2015,USD,21388.0
07/07/2017,GBP,6260.08
16/06/2013,USD,5291.5
22/09/2016,CAD,1006.75
13/05/2017,USD,615.0
05/11/2015,USD,31748.0
14/10/2017,GBP,11907.27
19/04/2013,GBP,6417.79
01/07/2017,USD,4645.0
10/10/2011,USD,4382.0
25/07/2014,EUR,94.08
16/07/2017,GBP,3904.07
03/07/2015,USD,1435.0
11/01/2014,USD,5410.0
25/09/2016,AUD,38.07
03/07/2014,USD,25391.26
05/10/2013,USD,21965.41
14/10/2014,GBP,980.06
17/12/2016,USD,501612.0
11/02/2012,USD,10872.79
23/07/2014,USD,20491.01
30/09/2013,USD,27846.0
09/04/2017,USD,8821.77
04/03/2011,USD,2000.0
16/01/2016,GBP,3168.24
13/06/2013,USD,3105.0
19/10/2017,USD,607.0
04/06/2010,USD,787.0
24/08/2013,USD,2030.4
29/03/2015,GBP,16378.25
16/08/2015,USD,1591.0
05/10/2014,USD,797.0
12/03/2017,USD,325.0
03/11/2016,USD,16067.69
31/12/2011,USD,6911.0
27/05/2013,GBP,22940.32
20/04/2013,USD,8576.0
19/12/2013,USD,3500.99
17/08/2017,USD,2366.0
05/01/2018,USD,349.0
28/09/2014,USD,4368.33
16/09/2015,USD,6912.0
27/11/2017,USD,21415.0
06/09/2017,GBP,44735.59
19/12/2012,USD,1525.0
03/10/2013,USD,4631.0
19/08/2015,NZD,15297.41
24/09/2011,USD,1903.0
31/07/2013,GBP,507.61
08/04/2012,USD,5052.0
06/10/2013,GBP,16485.31
02/11/2017,AUD,79002.81
27/04/2013,USD,11315.66
24/11/2015,USD,7749.0
20/04/2012,USD,1525.34
21/06/2013,USD,12527.0
25/04/2014,USD,10056.0
05/10/2015,USD,2578.0
29/09/2016,USD,3264.0
03/04/2017,USD,4479.0
02/04/2017,USD,2884.42
22/12/2015,USD,1313.0
13/06/2016,USD,3075.0
28/05/2012,USD,1451.0
03/11/2016,USD,560785.5
01/07/2015,USD,5662.0
28/07/2011,USD,19631.22
25/09/2009,USD,4100.0
06/09/2017,USD,10200.0
08/03/2011,USD,2835.0
29/05/2015,USD,20987.0
31/05/2014,USD,3095.0
10/11/2012,USD,10001.0
23/03/2015,USD,635.0
08/12/2016,USD,12730.0
11/05/2013,USD,2910.0
28/03/2017,CAD,1278.57
26/06/2011,USD,2696.0
20/04/2012,USD,5113.0
03/12/2017,USD,26245.0
03/09/2015,USD,3640.0
26/04/2017,USD,6509.0
21/10/2015,USD,26349.0
27/06/2011,USD,4250.0
28/02/2016,USD,12103.07
27/01/2018,USD,429.0
23/04/2017,USD,4930.0
28/12/2017,GBP,112750.92
16/09/2012,USD,9089.58
01/10/2014,USD,12023.0
03/09/2017,GBP,2365.28
08/01/2012,USD,1500.0
04/02/2013,USD,1130.0
28/12/2015,USD,55867.0
03/07/2016,USD,20639.0
02/12/2017,USD,5084.0
06/04/2013,USD,22151.66
13/01/2017,USD,311730.42
25/06/2017,GBP,4189.32
28/11/2015,USD,2935.0
08/04/2013,GBP,3453.1
21/12/2017,USD,5928.0
27/11/2014,USD,95399.0
22/02/2017,USD,1050.0
14/10/2010,USD,4065.69
31/08/2014,USD,19801.5
26/06/2012,USD,6555.0
28/06/2013,USD,9846.0
06/12/2015,USD,200.0
26/05/2016,USD,5170.0
