main_category,currency,deadline,usd_pledged_real
Music,GBP,01/08/2015,4208.17
Film & Video,USD,01/11/2013,66554.56
Design,USD,01/10/2011,8952.22
Fashion,USD,29/05/2011,566.0
Technology,EUR,31/07/2017,38421.55
Photography,USD,19/12/2014,18625.0
Film & Video,USD,26/06/2012,1072.0
Games,USD,02/06/2017,37522.0
Film & Video,USD,21/12/2012,12857.0
Food,USD,21/03/2013,3712.0
Film & Video,USD,19/06/2011,600.0
Art,USD,14/12/2012,7498.77
Art,NZD,10/05/2015,8226.9
Games,USD,20/06/2015,9125.0
Music,USD,20/06/2013,1221.0
Film & Video,USD,05/01/2014,25712.0
Music,USD,06/12/2011,8739.01
Film & Video,USD,11/04/2012,865.0
Dance,USD,10/02/2013,6000.0
Photography,USD,19/03/2015,10290.0
Film & Video,USD,27/08/2017,2575.0
Film & Video,USD,06/03/2011,8294.63
Music,USD,14/11/2012,815.0
Design,USD,19/12/2012,87207.5
Fashion,GBP,11/12/2017,27208.27
Comics,USD,16/11/2014,3318.0
Film & Video,GBP,05/01/2013,8932.68
Food,USD,07/05/2012,6510.0
Film & Video,USD,30/06/2017,14875.0
Technology,USD,22/04/2016,17771.0
Design,USD,13/11/2014,20563.0
Art,USD,17/02/2011,4600.0
Comics,USD,11/09/2017,947.0
Food,USD,21/09/2012,16656.0
Art,USD,19/02/2011,3005.33
Journalism,USD,17/05/2016,3184.0
Music,USD,12/09/2016,5075.0
Music,USD,15/05/2011,9137.0
Publishing,USD,09/09/2014,2522.0
Design,USD,28/06/2012,838.01
Art,USD,11/09/2015,10050.0
Dance,USD,30/05/2011,3520.0
Crafts,USD,01/03/2017,2025.0
Film & Video,USD,13/05/2012,2708.0
Games,USD,13/08/2016,20709.5
Publishing,USD,05/08/2014,17563.0
Music,USD,27/05/2013,12413.0
Comics,GBP,28/06/2015,1713.93
Art,USD,01/04/2015,1745.0
Film & Video,USD,18/09/2013,4279.0
Art,USD,15/03/2015,2455.0
Film & Video,USD,17/02/2013,3606.0
Film & Video,USD,15/09/2012,5975.0
Games,USD,27/08/2013,91972.5
Publishing,USD,23/07/2017,525.0
Music,USD,16/07/2014,3100.0
Music,USD,16/09/2016,3000.0
Food,CHF,08/04/2016,4009.53
Film & Video,USD,13/02/2012,11001.0
Technology,USD,10/06/2015,23447.0
Games,USD,09/04/2015,501.0
Crafts,USD,18/01/2016,120.0
Film & Video,GBP,31/07/2013,5145.77
Technology,USD,01/05/2013,41136.55
Music,USD,16/12/2014,5189.0
Film & Video,USD,19/03/2013,15435.55
Music,GBP,26/11/2016,2840.3
Music,CAD,24/03/2014,18.12
Comics,USD,05/11/2013,9047.0
Theater,USD,11/06/2011,1010.0
Technology,CAD,08/02/2016,2179.85
Art,USD,31/10/2013,116655.41
Music,USD,28/02/2016,61315.0
Design,USD,10/06/2016,129311.0
Design,USD,25/05/2015,24428.0
Art,GBP,30/09/2016,3308.01
Music,USD,02/08/2012,2037.19
Games,USD,18/12/2014,90715.0
Film & Video,USD,02/06/2016,5772.15
Technology,USD,24/03/2012,31275.6
Food,GBP,06/06/2016,16261.68
Technology,USD,17/11/2016,16998.0
Publishing,USD,07/07/2016,20330.0
Publishing,USD,09/08/2014,5688.0
Crafts,USD,19/08/2014,36.0
Publishing,USD,09/09/2013,950.01
Art,USD,19/09/2013,1100.0
Art,USD,03/10/2012,810.0
Film & Video,USD,08/02/2012,7375.51
Games,GBP,19/07/2015,38862.93
Music,USD,24/07/2017,41224.95
Photography,USD,20/08/2010,4331.0
Music,USD,01/06/2013,3216.0
Music,USD,08/06/2013,9408.0
Games,USD,06/06/2012,2695.0
Music,USD,10/11/2012,3151.26
Music,USD,15/07/2011,33535.05
Food,USD,22/08/2013,102937.0
Film & Video,USD,06/03/2014,3551.0
Art,USD,27/01/2013,5001.31
Music,GBP,19/11/2013,1331.71
Theater,USD,02/09/2014,500.0
Technology,USD,21/03/2017,47554.5
Games,GBP,19/09/2017,40023.34
Comics,USD,05/04/2017,1100.65
Film & Video,USD,09/09/2017,796.0
Games,USD,15/09/2016,3388.0
Food,USD,01/02/2012,8540.0
Music,USD,01/09/2012,1360.48
Film & Video,USD,16/11/2012,1405.0
Film & Video,USD,21/10/2011,10210.0
Technology,USD,07/12/2017,1374021.0
Publishing,USD,31/10/2015,4574.0
Music,USD,16/12/2013,1000.0
Design,USD,08/08/2014,15720.0
Music,USD,08/09/2011,4603.5
Technology,USD,03/06/2016,396299.0
Games,USD,02/01/2015,103114.5
Art,USD,28/05/2013,2820.0
Publishing,USD,04/05/2015,4569.0
Comics,USD,10/04/2015,439.0
Music,USD,11/11/2012,4176.0
Film & Video,USD,09/07/2012,5040.18
Design,USD,02/05/2012,8660.0
Design,USD,13/02/2016,5850.0
Music,USD,16/07/2012,12760.31
Film & Video,USD,04/11/2014,4266.0
Publishing,USD,18/06/2011,3026.75
Fashion,NOK,18/03/2016,2402.95
Music,USD,01/07/2015,1000.0
Dance,USD,11/04/2014,875.0
Film & Video,USD,19/02/2012,10451.52
Art,USD,21/12/2016,583.0
Food,USD,15/09/2016,10205.0
Games,USD,25/05/2017,165519.0
Technology,USD,20/10/2013,21613.47
Technology,USD,15/05/2017,106213.0
Photography,GBP,20/12/2016,2754.88
Film & Video,USD,02/10/2011,5002.0
Games,GBP,13/11/2013,32873.26
Food,USD,19/06/2017,10752.0
Journalism,EUR,01/08/2015,12600.78
Film & Video,USD,29/12/2012,45155.0
Technology,USD,15/11/2016,30126.0
Comics,GBP,07/12/2016,1693.27
Theater,USD,11/04/2015,251.0
Film & Video,USD,02/09/2016,40546.0
Music,USD,01/12/2010,2179.0
Film & Video,GBP,27/03/2015,1645.22
Games,HKD,24/09/2017,9536.67
Games,USD,21/02/2014,38186.0
Art,USD,02/06/2016,18280.0
Art,USD,10/12/2015,2688.0
Publishing,USD,13/09/2013,3368.0
Games,GBP,16/03/2014,56359.86
Film & Video,USD,05/05/2014,11515.91
Music,USD,15/02/2015,5475.0
Comics,USD,31/03/2016,1215.0
Art,USD,30/01/2015,1026.0
Art,USD,11/04/2014,702.0
Food,USD,01/03/2015,10164.0
Games,USD,14/11/2013,198.0
Games,USD,23/04/2012,607.0
Design,USD,04/03/2013,2516.24
Art,USD,30/07/2015,1671.0
Design,USD,20/09/2013,5198.0
Film & Video,USD,21/02/2015,590.0
Art,USD,28/04/2011,4540.0
Music,USD,29/04/2012,4746.69
Technology,USD,07/03/2013,38946.01
Film & Video,CAD,07/11/2014,1766.97
Comics,USD,05/06/2014,11357.0
Theater,CAD,31/03/2016,855.85
Games,USD,25/08/2017,82769.0
Design,USD,18/09/2013,4201.0
Fashion,USD,01/11/2017,8312.0
Journalism,GBP,31/12/2012,47377.46
Film & Video,USD,17/11/2012,6625.0
Games,EUR,28/04/2017,5508.74
Design,USD,13/01/2013,52837.51
Fashion,USD,11/11/2016,5189.0
Games,USD,02/03/2016,125808.4
Music,USD,14/11/2014,5000.0
Art,USD,26/05/2012,305.0
Dance,USD,21/03/2012,5255.0
Music,GBP,17/03/2014,865.68
Design,GBP,09/08/2017,298.52
Publishing,USD,07/05/2014,4653.0
Music,USD,02/08/2017,2520.5
Design,HKD,25/08/2017,85744.62
Music,USD,21/04/2017,23000.0
Film & Video,GBP,21/07/2017,1195.26
Photography,GBP,23/05/2015,2395.41
Photography,USD,18/12/2014,985.0
Theater,USD,16/04/2012,2667.0
Music,USD,24/10/2016,1310.0
Film & Video,USD,18/08/2014,42060.63
Film & Video,USD,14/01/2013,10120.5
Music,USD,06/06/2014,5480.0
Art,USD,01/10/2016,8900.33
Technology,USD,26/07/2012,5060.0
Art,USD,01/12/2013,3090.0
Art,USD,12/01/2014,1390.0
Art,USD,22/10/2015,1486.0
Games,USD,01/08/2014,4245.0
Photography,USD,06/05/2016,14006.0
Publishing,USD,07/03/2013,1692.0
Film & Video,USD,17/12/2010,11610.0
Games,USD,03/03/2016,147526.0
Comics,GBP,27/07/2014,2523.85
Design,USD,24/09/2011,32766.9
Technology,GBP,20/11/2014,32885.86
Games,USD,14/06/2013,108950.86
Film & Video,USD,12/12/2014,1507.0
Design,USD,08/04/2017,767897.09
Art,USD,22/12/2016,3818.0
Technology,USD,01/05/2014,74026.0
Food,USD,02/03/2013,40062.0
Music,USD,19/02/2015,665.0
Music,USD,01/12/2012,2500.5
Film & Video,CAD,31/05/2014,11959.9
Theater,USD,03/06/2015,4656.0
Photography,USD,25/03/2012,3053.0
Music,USD,10/08/2014,1045.0
Food,USD,06/08/2015,1531.0
Art,USD,03/06/2013,1653.0
Design,HKD,15/12/2016,173126.48
Publishing,USD,02/06/2017,10177.0
Music,USD,22/10/2013,4542.83
Film & Video,USD,15/07/2016,17933.0
Games,GBP,21/11/2017,6971.32
Fashion,USD,12/03/2015,22665.0
Fashion,USD,28/11/2012,1162.0
Games,MXN,27/10/2017,262.2
Publishing,EUR,30/10/2016,11444.64
Fashion,USD,25/01/2015,26695.0
Design,USD,28/06/2013,30673.0
Music,USD,12/05/2017,2000.0
Fashion,EUR,16/10/2015,39090.97
Design,USD,17/12/2015,1919.0
Music,USD,15/08/2015,113.0
Technology,USD,10/09/2014,118923.5
Design,CAD,21/07/2017,5066.69
Film & Video,USD,01/11/2013,1760.0
Design,USD,20/02/2013,19711.0
Games,GBP,16/07/2013,27944.45
Music,USD,26/07/2015,7591.0
Games,AUD,13/12/2013,27135.53
Design,USD,01/06/2013,103307.65
Dance,USD,20/12/2011,14401.0
Film & Video,GBP,07/11/2016,1924.25
Dance,USD,03/05/2011,2845.0
Food,USD,28/04/2013,28036.0
Design,USD,29/12/2017,9502.0
Music,USD,01/03/2012,900.0
Theater,USD,03/04/2010,3661.0
Journalism,USD,14/11/2011,2095.0
Publishing,USD,19/08/2017,6442.0
Music,USD,19/07/2015,14200.0
Publishing,USD,07/09/2012,2661.32
Art,USD,05/10/2013,3299.0
Film & Video,USD,03/05/2011,5350.51
Film & Video,USD,03/12/2014,5825.0
Fashion,USD,04/09/2016,205.0
Games,USD,13/04/2014,3438.13
Music,USD,07/09/2011,3173.0
Film & Video,USD,22/09/2016,10600.0
Publishing,USD,25/02/2017,2517.0
Design,USD,01/10/2014,1504.0
Music,USD,17/05/2015,2040.0
Music,USD,12/11/2011,5170.0
Dance,USD,01/05/2014,27431.0
Music,GBP,13/03/2015,3387.78
Theater,USD,22/02/2013,2752.0
Technology,EUR,11/06/2015,45531.66
Publishing,USD,02/11/2012,2315.0
Theater,USD,14/01/2017,10196.5
Theater,USD,04/05/2015,1100.0
Art,GBP,13/08/2015,5378.36
Games,USD,05/11/2015,38317.0
Publishing,USD,31/08/2011,2800.0
Music,EUR,10/07/2016,677.7
Games,USD,21/09/2017,84138.42
Publishing,USD,02/05/2013,4088.0
Publishing,USD,16/07/2016,10277.0
Music,USD,19/01/2013,3155.0
Music,USD,08/06/2013,1525.0
Food,USD,09/08/2014,11.0
Music,GBP,31/03/2014,4167.84
Film & Video,USD,01/07/2012,5178.0
Music,USD,16/03/2012,3500.0
Art,USD,05/08/2012,3100.0
Music,CAD,04/08/2017,1228.92
Technology,USD,31/12/2016,81510.0
Photography,USD,15/08/2012,5637.0
Design,GBP,06/11/2014,10686.09
Film & Video,USD,28/03/2014,13135.0
Fashion,USD,06/02/2017,3065.0
Photography,GBP,04/12/2016,3083.38
Crafts,USD,25/09/2014,29.0
Games,USD,04/06/2015,66988.0
Art,USD,31/10/2016,9194.0
Games,GBP,03/01/2013,338589.87
Music,USD,28/07/2012,1307.0
Art,USD,17/11/2012,75.0
Film & Video,USD,27/01/2012,5358.0
Theater,GBP,14/02/2016,1379.23
Design,USD,22/08/2014,81981.0
Food,EUR,15/02/2016,10177.2
Games,USD,14/10/2011,1155.23
Comics,USD,18/12/2014,673.0
Film & Video,USD,23/11/2013,11026.0
Design,USD,19/08/2016,7582.0
Games,GBP,17/01/2017,19406.25
Music,USD,23/04/2012,673.21
Food,MXN,16/05/2017,5501.07
Games,USD,01/09/2017,71293.0
Music,USD,09/08/2015,15102.0
Music,USD,08/06/2013,1381.0
Film & Video,USD,15/07/2017,3215.0
Technology,EUR,26/05/2016,192343.26
Film & Video,USD,08/09/2014,6035.0
Music,USD,08/06/2013,2570.0
Design,USD,08/05/2017,8039.99
Art,USD,22/10/2012,3285.0
Theater,USD,30/08/2010,2710.0
Food,USD,14/12/2016,8599.0
Games,GBP,22/11/2014,11855.1
Fashion,GBP,11/05/2013,5607.69
Games,GBP,08/10/2014,24589.94
Theater,GBP,23/11/2014,2581.97
Film & Video,USD,01/06/2012,30255.0
Film & Video,AUD,08/12/2014,6344.17
Film & Video,USD,01/06/2012,1227.01
Dance,USD,25/05/2015,3194.0
Film & Video,USD,22/10/2011,15827.0
Music,USD,19/09/2014,3682.93
Art,USD,10/05/2015,910.0
Dance,USD,16/03/2012,8185.0
Design,USD,23/03/2013,941.0
Art,USD,13/05/2015,507.0
Music,USD,16/04/2013,17135.0
Film & Video,USD,31/05/2015,5650.0
Film & Video,USD,17/02/2012,3553.0
Film & Video,USD,07/05/2012,11178.0
Comics,CAD,30/11/2016,1286.18
Games,USD,01/09/2013,39557.16
Film & Video,USD,08/08/2010,1631.0
Film & Video,USD,24/07/2014,25000.0
Design,USD,20/09/2017,51807.0
Games,USD,04/07/2014,13574.0
Dance,USD,02/10/2015,457.0
Film & Video,USD,11/03/2017,3653.5
Fashion,GBP,04/04/2015,3742.67
Art,USD,21/08/2014,677.0
Comics,USD,26/05/2016,4661.0
Crafts,USD,03/11/2011,2607.0
Film & Video,USD,09/08/2012,3081.0
Art,EUR,09/01/2017,192.96
Film & Video,USD,31/10/2016,24056.0
Food,USD,09/12/2015,15130.0
Design,GBP,01/06/2016,3323.76
Music,USD,11/05/2013,101.0
Film & Video,CAD,26/04/2017,17149.14
Music,USD,01/07/2016,24255.0
Crafts,USD,12/09/2014,394.0
Games,GBP,30/11/2013,7660.88
Games,USD,28/08/2014,1973.0
Technology,USD,19/10/2016,4205.0
Comics,USD,31/10/2013,75350.55
Fashion,USD,07/07/2015,9613.0
Music,USD,26/11/2011,10446.0
Technology,USD,18/09/2017,18594.0
Publishing,USD,03/11/2017,4371.0
Design,GBP,16/12/2016,22518.58
Crafts,USD,04/12/2012,303.0
Dance,GBP,20/12/2016,673.71
Art,GBP,17/04/2013,4215.08
Art,USD,04/09/2014,525.5
Games,USD,22/02/2011,3800.0
Film & Video,USD,24/05/2014,5130.0
Music,USD,24/07/2016,920.0
Film & Video,USD,11/12/2016,6945.0
Fashion,USD,29/11/2014,38016.12
Music,GBP,16/05/2016,2415.47
Photography,USD,18/08/2012,5164.09
Publishing,USD,16/11/2015,2637.0
Technology,GBP,03/11/2017,59230.76
Design,GBP,07/04/2014,6811.34
Comics,USD,10/01/2015,4210.0
Film & Video,GBP,18/09/2015,2453.41
Games,USD,25/05/2017,21797.0
Publishing,USD,18/04/2012,3740.87
Dance,USD,14/12/2013,10086.0
Technology,USD,06/03/2011,5843.0
Games,USD,05/09/2016,6001.0
Music,USD,23/02/2012,2025.0
Photography,USD,25/02/2015,38206.0
Music,USD,22/07/2011,7233.11
Publishing,USD,19/03/2016,21807.0
Theater,USD,29/04/2015,4085.0
Design,EUR,15/05/2016,8047.34
Games,CAD,19/05/2016,4207.23
Games,USD,30/05/2014,440.0
Film & Video,USD,30/06/2016,6652.0
Music,USD,01/10/2015,10295.0
Publishing,USD,01/12/2015,4296.0
Comics,USD,17/10/2013,12577.0
Music,USD,16/08/2011,2565.0
Food,USD,11/06/2015,3326.0
Publishing,USD,31/12/2016,1172.0
Film & Video,USD,04/10/2013,50497.0
Fashion,USD,01/02/2016,10339.0
Music,USD,21/05/2012,2916.0
Design,AUD,30/06/2014,9484.71
Music,USD,02/02/2013,5904.0
Games,GBP,29/07/2016,13144.69
Theater,USD,25/10/2011,1036.0
Games,USD,19/10/2017,2302.0
Film & Video,EUR,25/10/2015,2796.11
Music,USD,02/03/2011,4317.0
Design,USD,06/10/2016,16181.2
Film & Video,NOK,15/06/2015,249.65
Games,CAD,15/12/2015,2391.26
Film & Video,USD,28/10/2012,8852.89
Art,GBP,27/09/2017,15889.89
Publishing,USD,14/10/2014,121166.59
Technology,USD,25/07/2014,4566.0
Music,USD,09/10/2017,1461.0
Music,GBP,01/10/2016,754.56
Theater,USD,29/03/2013,4010.0
Film & Video,USD,06/12/2012,10127.0
Music,USD,18/09/2010,7000.0
Film & Video,USD,05/07/2014,8585.0
Games,USD,27/03/2016,38269.84
Music,USD,19/12/2011,1635.0
Music,USD,31/05/2012,3209.84
Technology,USD,02/04/2015,578478.33
Fashion,USD,30/09/2012,3068.0
Art,USD,03/12/2014,1844.0
Technology,USD,28/10/2016,67408.0
Publishing,USD,18/08/2017,11526.0
Film & Video,USD,03/09/2015,76048.46
Design,USD,06/09/2017,8764.2
Music,USD,09/09/2014,11300.0
Games,EUR,02/05/2017,7170.65
Art,USD,14/06/2013,3500.0
Music,USD,25/09/2012,5180.0
Food,USD,09/12/2015,13095.0
Theater,USD,17/01/2014,10195.77
Design,USD,28/08/2017,358.0
Design,USD,27/11/2014,12.0
Music,USD,29/06/2017,2000.0
Dance,USD,20/08/2012,5033.0
Art,GBP,24/08/2016,2430.37
Publishing,USD,01/03/2017,17602.0
Publishing,USD,28/06/2013,2063.96
Music,USD,11/10/2013,1655.0
Music,USD,13/01/2015,5506.0
Games,SEK,05/08/2017,964.26
Film & Video,USD,05/03/2015,57249.0
Theater,USD,30/11/2017,5071.0
Theater,GBP,04/07/2014,1758.93
Food,USD,01/12/2017,30977.0
Film & Video,USD,02/04/2012,4000.0
Food,USD,05/08/2010,4410.0
Film & Video,CAD,13/09/2014,29012.57
Design,USD,13/05/2017,324870.0
Dance,USD,27/03/2012,1700.0
Games,USD,20/06/2016,14075.0
Art,USD,19/08/2012,1255.0
Film & Video,USD,26/08/2010,340.0
Music,USD,01/02/2015,2015.0
Crafts,GBP,03/07/2014,120.0
Design,USD,08/04/2014,10945.0
Fashion,CAD,16/05/2016,85222.04
Film & Video,USD,23/08/2014,51318.0
Film & Video,GBP,11/05/2013,250.6
Games,USD,05/05/2013,11480.0
Photography,EUR,12/05/2016,1709.01
Film & Video,USD,30/06/2013,4756.0
Publishing,USD,11/09/2014,30585.11
Film & Video,USD,08/04/2012,15940.0
Games,SGD,12/01/2017,9913.76
Film & Video,USD,07/06/2012,5249.0
Film & Video,USD,02/09/2015,24123.0
Art,USD,16/03/2014,505.0
Journalism,GBP,08/10/2015,2115.32
Theater,USD,18/02/2013,1601.0
Design,USD,05/03/2015,531581.0
Fashion,USD,15/11/2016,833.0
Food,USD,12/03/2017,8046.0
Food,USD,20/05/2012,10232.0
Film & Video,USD,31/07/2011,7241.69
Design,USD,09/07/2012,20690.5
Comics,USD,13/11/2017,26650.13
Games,USD,14/10/2015,3000.0
Art,USD,04/05/2011,2646.0
Film & Video,USD,14/10/2013,2368.0
Music,GBP,07/04/2014,9622.21
Food,USD,01/05/2014,4665.0
Film & Video,USD,29/04/2011,18007.0
Music,USD,10/10/2016,32667.33
Film & Video,USD,04/06/2014,7389.0
Food,USD,24/08/2012,146121.81
Art,USD,12/06/2015,1188.0
Music,GBP,06/03/2017,14255.15
Publishing,USD,04/12/2013,6250.88
Film & Video,USD,03/03/2014,4126.0
Film & Video,USD,09/08/2014,25769.0
Design,EUR,12/10/2017,577532.01
Design,USD,25/04/2015,7338.0
Dance,USD,04/06/2015,1195.0
Publishing,EUR,25/11/2017,1154.03
Technology,AUD,23/07/2016,8690.42
Music,GBP,21/12/2015,5270.69
Film & Video,USD,08/01/2014,1575.0
Publishing,NZD,14/07/2016,8178.24
Technology,USD,09/12/2014,4502.0
Games,GBP,24/03/2014,166.33
Games,USD,08/04/2016,15806.0
Food,USD,22/05/2013,5185.0
Design,USD,16/10/2015,9748.0
Games,USD,31/10/2015,1651.0
Dance,USD,21/09/2012,6710.0
Art,SEK,15/05/2015,96.97
Publishing,USD,31/05/2015,50653.0
Film & Video,USD,20/07/2013,7947.0
Film & Video,USD,15/10/2012,9186.0
Games,EUR,20/04/2017,75504.15
Music,CAD,17/07/2015,444.6
Food,USD,25/07/2017,631.0
Comics,USD,05/01/2013,17332.0
Games,USD,29/07/2016,9516.0
Food,USD,29/10/2010,641.0
Film & Video,CAD,11/01/2015,4206.07
Art,USD,25/03/2015,1240.0
Music,USD,23/03/2014,5511.0
Technology,USD,04/07/2014,2780.0
Film & Video,USD,24/11/2012,20243.0
Film & Video,USD,04/05/2012,10550.0
Games,CAD,01/07/2015,63080.31
Games,USD,02/11/2012,77522.47
Publishing,USD,16/11/2016,6569.0
Art,USD,20/09/2013,26476.66
Theater,USD,07/05/2011,6025.03
Fashion,USD,19/01/2017,18033.0
Music,USD,28/03/2013,3450.0
Design,EUR,16/12/2016,5020667.05
Technology,USD,23/08/2017,126838.0
Film & Video,USD,15/12/2012,510.0
Music,USD,10/05/2010,7060.0
Games,USD,05/07/2014,9878.0
Music,USD,12/10/2016,8016.0
Technology,USD,18/08/2015,135.0
Film & Video,GBP,24/06/2013,1753.26
Theater,USD,31/12/2014,5000.0
Comics,USD,01/12/2010,2443.0
Dance,USD,30/09/2012,5275.0
Film & Video,GBP,03/01/2013,536.63
Fashion,HKD,28/03/2017,48443.34
Technology,USD,11/06/2015,3801.0
Design,USD,29/03/2015,122161.0
Design,NZD,26/05/2016,99251.91
Music,USD,16/05/2012,750.0
Film & Video,USD,03/02/2011,30752.0
Technology,USD,03/04/2014,2313.0
Art,MXN,01/01/2017,407.97
Dance,USD,01/09/2012,4028.0
Design,USD,05/10/2017,603.0
Games,USD,12/04/2014,51501.7
Games,USD,01/12/2013,32006.67
Film & Video,USD,23/05/2016,425.67
Fashion,USD,17/12/2016,79949.0
Music,USD,24/08/2012,4305.05
Design,EUR,13/09/2017,9729.52
Design,USD,19/10/2013,2001.52
Design,USD,15/06/2016,17391.0
Technology,USD,02/08/2014,150986.0
Theater,USD,03/03/2012,5360.0
Photography,USD,01/11/2014,3784.0
Dance,USD,08/03/2015,12425.0
Photography,GBP,27/02/2017,183.52
Design,USD,16/11/2016,18131.0
Journalism,GBP,19/11/2017,931.43
Publishing,CAD,19/06/2014,11837.43
Games,USD,12/03/2012,12000.1
Music,USD,16/03/2013,12876.0
